,THING_ID,RA,DEC,Z_VI,BAL_FLAG_VI
115844,327532695,160.5549121838659,24.836571805296707,2.634990930557251,0
115846,420744778,160.55525051863697,37.927613390872466,2.1824159622192383,0
115851,291739654,160.55763552891332,20.5031547748937,2.2257332801818848,0
115852,288111107,160.55773618869694,20.177063853755687,2.9245212078094482,0
115859,363129197,160.5610345241914,29.1124403581797,1.5224342346191406,0
115861,368210196,160.56245713969224,29.77744864924088,2.553,0
115862,350750447,160.56290546841694,27.579230669474256,2.501,0
115863,402132204,160.56304410588467,34.75946558279074,2.388140916824341,0
115866,331058072,160.56711554816576,25.167154834375594,1.4516314268112183,0
115867,336719731,160.5674926694033,25.879971555302294,0.717828631401062,0
115868,325623894,160.56767714379671,24.56580626847521,3.265812397003174,0
115869,425105631,160.5677451232679,38.607266332334476,3.457,0
115871,371409606,160.56856358098554,30.138869007365734,1.2956571578979492,0
115873,392295635,160.56917319401066,33.33037346820744,2.3025078773498535,0
115880,409941028,160.5719893192519,36.05606482819232,2.2284433841705322,0
115881,388122565,160.57200665587416,32.576336109564124,2.091,0
115882,329439281,160.57233396694602,25.142523300337043,1.444,0
115886,359416405,160.5730864029594,28.625945231611436,2.119924306869507,0
115889,302178040,160.57424944214267,21.882991223373853,3.085,0
115893,312900464,160.5755055888005,23.08189243502885,2.521517276763916,0
115895,371409733,160.5765132437532,30.298452385904934,2.974280834197998,0
115900,397944996,160.57772583346411,34.164252842965446,3.2078046798706055,0
115903,373040311,160.58050552436822,30.5342040079487,1.5629080533981323,0
115906,320125256,160.58177919049726,24.016615435949728,0.9749076962471008,0
115910,354294176,160.5838898841967,28.04903006174741,3.4617223739624023,0
115912,318301494,160.58565719385462,23.649788847284388,2.0873043537139893,0
115913,314607205,160.58573409898776,23.358701320937183,2.3981990814208984,0
115920,380750748,160.58764642517673,31.48125805672445,1.240054965019226,0
115925,356167815,160.5915801984417,28.337032255509964,1.6862050294876099,0
115932,400738064,160.59632583311873,34.722278678719725,2.3743560314178467,0
115943,312900366,160.60355403415082,23.167168642172417,1.241212010383606,0
115945,403473625,160.6037495114935,34.977420084767054,3.0007166862487793,0
115948,430482611,160.6058335936093,39.41760201734643,0.8878132700920105,0
115952,349058315,160.60778853199884,27.323649563852793,2.374912738800049,0
115954,329439423,160.60812817292117,24.984189907823595,2.5433521270751953,0
115955,354293703,160.60833603341774,28.09528355150202,2.395,0
115958,288299096,160.6091317092995,20.109973924914286,2.289,0
115959,381010298,160.60932471195758,31.570853126022815,1.7890980243682861,0
115960,423447237,160.60993966880707,38.27814480355811,2.3199870586395264,0
115963,289904524,160.61163379094268,20.40300890714313,2.3320960998535156,0
115966,357817405,160.6132216561382,28.441915482991362,1.1460739374160767,0
115967,296965826,160.6138645610028,21.102327449079198,2.407,0
115968,416888516,160.6142539426615,37.2919719932697,0.8737223744392395,0
115972,309480180,160.61566994585127,22.640297909207543,2.404189348220825,0
115974,340420978,160.6162405780553,26.38060675238589,1.69,0
115976,431952405,160.6179490227644,39.70109573437332,3.2786190509796143,0
115979,411710232,160.6214666641902,36.42681744036854,2.463317394256592,0
115980,422313471,160.62162008483904,38.18646367165142,2.644766330718994,0
115985,373040546,160.62303383577216,30.53379455734962,0.740012526512146,0
115993,289904523,160.62532434912265,20.308270420658207,2.364,0
115994,404816550,160.6261229723923,35.281417748527026,2.415008544921875,0
115995,349282619,160.62631346933208,27.43310636059065,1.0233502388000488,0
115998,305840207,160.62966739240017,22.216804427191132,1.006026029586792,0
116002,325870790,160.63264816666822,24.61921472178993,0.7668480277061462,0
116003,288299106,160.63495941512312,20.078996776504738,3.6349070072174072,0
116007,354293723,160.63623909336746,28.132496632175904,2.3273074626922607,0
116009,325623784,160.63765459636596,24.53108061029129,1.1107845306396484,0
116026,411710120,160.64393677288382,36.35633086592891,0.7018998861312866,0
116030,400974141,160.64588977291962,34.64674938798992,2.3469526767730713,0
116031,388122355,160.64700397739813,32.69647149213331,2.5509262084960938,0
116035,411710080,160.64987717203,36.39756368959729,2.535,0
116046,400974139,160.65269113186784,34.59889519556799,2.983367681503296,0
116047,293519991,160.6528148200881,20.73688296940567,2.288749933242798,0
116053,386780151,160.6564571814454,32.43775881604888,2.3498053550720215,0
116055,415551093,160.65692358597516,36.98606558644705,2.129,0
116056,388122635,160.65755610890494,32.562819306922904,2.548,0
116061,428060686,160.65878618907877,39.07083427730454,0.5788830518722534,0
116068,379387048,160.66466859896093,31.248631828146948,2.27353835105896,0
116074,406133766,160.6679845199156,35.40530521428845,0.761772096157074,0
